epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1019.99,1.04978,1.57755,1.00628,0.53801,0.54231,0.54509,0.39869,0.93153,0.78583,0.93239,0.00333259,0.00333259,0.00333259
2,1987.37,1.00711,0.98139,0.99025,0.66452,0.59665,0.64076,0.4642,0.91773,0.69157,0.93878,0.00653394,0.00653394,0.00653394
3,3008.2,1.01849,0.88141,1.0038,0.70412,0.6259,0.67742,0.49664,0.9075,0.63371,0.9407,0.00960329,0.00960329,0.00960329
4,3975.97,1.00521,0.82549,1.00374,0.74578,0.65813,0.71104,0.52106,0.88744,0.58712,0.93287,0.009406,0.009406,0.009406
5,4979.12,0.97302,0.76139,0.99072,0.75274,0.69048,0.74555,0.55397,0.87229,0.55293,0.92629,0.009208,0.009208,0.009208
6,5996.71,0.95359,0.72344,0.98141,0.76633,0.70052,0.76743,0.57031,0.86278,0.53205,0.92167,0.00901,0.00901,0.00901
7,6989.46,0.94115,0.69895,0.97561,0.7643,0.72932,0.77963,0.58268,0.85854,0.51488,0.91797,0.008812,0.008812,0.008812
8,8020.83,0.93197,0.68161,0.97003,0.78889,0.73363,0.79162,0.59335,0.85361,0.50611,0.91444,0.008614,0.008614,0.008614
9,9023.55,0.92375,0.66535,0.96743,0.79806,0.74488,0.8015,0.6015,0.84921,0.49631,0.9127,0.008416,0.008416,0.008416
10,10061.5,0.91819,0.65417,0.96377,0.80256,0.74769,0.80765,0.60828,0.84652,0.49013,0.91149,0.008218,0.008218,0.008218
11,11104.4,0.91238,0.64628,0.96328,0.80508,0.75318,0.81177,0.61329,0.84461,0.4863,0.91079,0.00802,0.00802,0.00802
12,12093.4,0.90789,0.63782,0.96176,0.80907,0.75578,0.8162,0.61673,0.84334,0.48222,0.91043,0.007822,0.007822,0.007822
13,13077.9,0.90314,0.62947,0.95831,0.80525,0.76355,0.81832,0.61971,0.84219,0.47921,0.90988,0.007624,0.007624,0.007624
14,14087.9,0.90107,0.62426,0.95726,0.81812,0.7592,0.82002,0.62182,0.84108,0.47701,0.90907,0.007426,0.007426,0.007426
15,1172.83,0.89724,0.61964,0.95529,0.82401,0.75874,0.82241,0.62367,0.84076,0.47574,0.90871,0.007228,0.007228,0.007228
16,2407.57,0.89823,0.62062,0.95501,0.82507,0.75901,0.82328,0.62423,0.84029,0.47439,0.9082,0.00703,0.00703,0.00703
17,3468.57,0.89263,0.61357,0.95302,0.81087,0.76853,0.82401,0.62517,0.83979,0.47321,0.90778,0.006832,0.006832,0.006832
15,1190.43,0.89724,0.61964,0.95529,0.82401,0.75874,0.82241,0.62367,0.84076,0.47574,0.90871,0.007228,0.007228,0.007228
16,2336.62,0.89823,0.62062,0.95501,0.82507,0.75901,0.82328,0.62423,0.84029,0.47439,0.9082,0.00703,0.00703,0.00703
17,3432.97,0.89263,0.61357,0.95302,0.81087,0.76853,0.82401,0.62517,0.83979,0.47321,0.90778,0.006832,0.006832,0.006832
18,1151.49,0.88425,0.59984,0.94998,0.82177,0.7649,0.82577,0.62604,0.83971,0.47237,0.90769,0.006634,0.006634,0.006634
19,2240.1,0.89062,0.60796,0.95227,0.81827,0.76915,0.82607,0.62667,0.83952,0.4715,0.90744,0.006436,0.006436,0.006436
20,3311.62,0.887,0.60444,0.95124,0.81837,0.77079,0.82666,0.62802,0.83917,0.47068,0.9072,0.006238,0.006238,0.006238
21,4375.16,0.88534,0.59977,0.95006,0.82061,0.76982,0.82815,0.62933,0.83867,0.46943,0.90679,0.00604,0.00604,0.00604
22,5527.14,0.88401,0.59633,0.94935,0.82223,0.77152,0.82905,0.63062,0.83834,0.46819,0.90646,0.005842,0.005842,0.005842
23,6692.65,0.88008,0.58985,0.94627,0.82523,0.76928,0.82996,0.63236,0.83778,0.46661,0.90599,0.005644,0.005644,0.005644
24,7850.18,0.87804,0.58416,0.94668,0.82534,0.76979,0.831,0.63377,0.83738,0.46525,0.90559,0.005446,0.005446,0.005446
25,8974.16,0.87486,0.58028,0.94373,0.82921,0.76936,0.83292,0.6356,0.83688,0.46354,0.9051,0.005248,0.005248,0.005248
26,10073.9,0.87197,0.57565,0.94315,0.83271,0.77137,0.83477,0.63688,0.8362,0.46215,0.90461,0.00505,0.00505,0.00505
27,11019.5,0.87123,0.57158,0.94175,0.83031,0.77509,0.83609,0.63829,0.83562,0.4607,0.90419,0.004852,0.004852,0.004852
28,11931,0.86757,0.56888,0.94187,0.83427,0.77406,0.83751,0.63975,0.83509,0.45936,0.90382,0.004654,0.004654,0.004654
29,12877.9,0.86695,0.5645,0.93968,0.83835,0.77376,0.83869,0.641,0.83471,0.45784,0.90322,0.004456,0.004456,0.004456
30,14272.9,0.86427,0.56184,0.93816,0.8378,0.77598,0.83969,0.64194,0.83413,0.45609,0.90262,0.004258,0.004258,0.004258
31,1210.39,0.85378,0.54776,0.93644,0.83651,0.77709,0.84055,0.64264,0.83403,0.45533,0.90249,0.00406,0.00406,0.00406
32,2683.64,0.85809,0.5532,0.93764,0.8341,0.78114,0.8416,0.64377,0.8338,0.45458,0.90235,0.003862,0.003862,0.003862
33,3923.92,0.85578,0.551,0.93708,0.83146,0.78338,0.84225,0.64432,0.8335,0.45368,0.90223,0.003664,0.003664,0.003664
34,5346.42,0.85397,0.54783,0.93667,0.82998,0.78709,0.84441,0.64576,0.83317,0.45279,0.90205,0.003466,0.003466,0.003466
35,6827.3,0.85323,0.54594,0.93502,0.83041,0.78869,0.84492,0.64639,0.83279,0.45159,0.90168,0.003268,0.003268,0.003268
